eye_color,year_in_school,year_of_birth,number_of_siblings,length_of_favorite_song
brown,sophomore,2005,4,185
brown,freshman,2006,5,180
brown,freshman,2007,6,148
blue,junior,2004,1,173
blue,freshman,2008,1,237
brown,junior,2005,4,180
brown,freshman,2006,2,166
blue,freshman,2006,2,371
blue,junior,2004,2,480
green,sophomore,2006,1,237
brown,freshman,2006,2,233
grey,junior,2005,1,170
blue,freshman,2007,3,228
blue,junior,2006,2,134
blue,junior,2004,2,174
brown,sophomore,2006,1,215
blue,freshman,2007,2,229
hazel,sophomore,2006,2,297
brown,freshman,2006,4,181
brown,sophomore,2006,2,260
green,freshman,2007,10,189
green,sophomore,2006,1,134
